content,sentiment
"KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kunjungi Lapas Terbuka, Dua Profesor Undip Siap Kolaborasi Garap SAE",netral
"KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kunjungi Lapas Terbuka, Dua Profesor Undip Siap Kolaborasi Garap SAE",netral
"8. KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kunjungi Lapas Terbuka, Dua Profesor Undip Siap Kolaborasi Garap SAE",netral
"8.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kunjungi Lapas Terbuka, Dua Profesor Undip Siap Kolaborasi Garap SAE",netral
"KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kunjungi Lapas Terbuka, Dua Profesor Undip Siap Kolaborasi Garap SAE",netral
"KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kunjungi Lapas Terbuka, Dua Profesor Undip Siap Kolaborasi Garap SAE",netral
"KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kunjungi Lapas Terbuka, Dua Profesor Undip Siap Kolaborasi Garap SAE",netral
"KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kunjungi Lapas Terbuka, Dua Profesor Undip Siap Kolaborasi Garap SAE",netral
Profesor Undip Siap Garap Sarana Asimilasi dan Edukasi di Lapas Terbuka Kendal -,netral
"130. KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kunjungi Lapas Terbuka Kendal, Dua Profesor Undip Siap Kolaborasi Garap SAE",netral
Maggot Siap Didukung Mahasiswa KKN Tematik Undip: Digital Marketing dan Branding,netral
"KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kunjungi Lapas Terbuka Kendal, Dua Profesor Undip Siap Kolaborasi Garap SAE,",netral
"KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kunjungi Lapas Terbuka Kendal, Dua Profesor Undip Siap Kolaborasi Garap SAE",netral
"KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kunjungi Lapas Terbuka Kendal, Dua Profesor Undip Siap Kolaborasi Garap SAE",netral
"KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kunjungi Lapas Terbuka Kendal, Dua Profesor Undip Siap Kolaborasi Garap SAE",netral
"130.KAKANWIL KEMENKUMHAM JATENG A YUSPAHRUDDIN: Kunjungi Lapas Terbuka Kendal, Dua Profesor Undip Siap Kolaborasi Garap SAE",netral
-dips permisi mau tanyaa biasanya kalo uas itu sesuai jadwal yang di Siap undip apa tergantung dosen yaa dan abis selesai uas langsung libur atau gimana makasii kaka² yg udah jawab,netral
bagian siap undip-akademik-bagian khs-bagian bawah ada print transkrip nilai,netral
SENJA AMAL MAGENTA FAKULTAS PSIKOLOGI UNDIP 2022 Halo Deeps Udah siap buat ikutan SEMATA belum nih Emang apa sih SEMATA itu SEMATA adalah singkatan dari Senja Amal Magenta yang diadakan oleh Mahasiswa Baru Fakultas Psikologi UNDIP Angkatan 2022,netral
lawson kalo buka di smrg alias dkt undip pasti ramee dn ak siap antri,netral
Yey done Terima kasih Undip Terima kasih kaka alumni kita yg kece Terima ksih anak2 mentorku yg hari ini kooperatif Terima kasih kalian siap jepretin guru yg narsis ini,positif
"-dips PLS NEED HELP info kost cewe lt700k yg ada springbed, meja, kursi, lemari, wifi, km bersih, dan di kawasan undip buat semester depan dongg siapa tau ada yg mau cabut aku siap menung",netral
"-dips PLS NEED HELP info kost cewe lt700k yg ada springbed, meja, kursi, lemari, wifi, km bersih, dan di kawasan undip buat semester depan dongg siapa tau ada yg mau cabut aku siap menung",netral
skrg klo ktemu2 gini ak bakal blg siap undip,netral
"gweh bs bikin soal matematika sendiri 5 nomer, siap masuk undip",netral
"Pertempuran ini adalah pertempuran terberat dan terbesar melawan kolonialisme dalam sejarah kemerdekaan Indonesia. Terima kasih Pahlawan, kami siap melanjutkan perjuanganmu. Semangatmu selalu menggelora di dada. Selamat Hari Pahlawan 10 November 2022",positif
-dips Web jurnal dilanggan undip dari siap lagi down kah Gabisa dibukaa,negatif
Undip Siap Menjadi Pusat Pengembangan Psikologi Berbasis Keluarga,netral
Undip Siap Menjadi Pusat Pengembangan Psikologi Berbasis Keluarga,netral
-dips Info cowo undip yang butuh support system dan temen skripsian. aq siap menemanimu sai wisuda,positif
Kukira Qr code absen siap Undip,netral
maaf nder aku ngelag buka siap undip kirain absen,netral
Dan itu bisa di cek di SIAP UNDIP,netral
sing ldr unnes-undip siap retak,netral
"krn dikelilingi cukong kroni yg siap memanfaatkan kekuasaan dargombes, mana suara yg ngaku aktipes 98 anti kkn",negatif
-dips Siap-siap besok Undip macet,negatif
Undip bukannya langganan jurnal internasional di SIAP ya Bisa diakses dan di donlot gratis khusus mahasiswa undip,netral
"UPDATE DATA PRIBADI MAHASISWA BARU 2022/2023 Halo, Fisikawan Muda Ada informasi terbaru untuk seluruh mahasiswa baru angkatan 2022/2023, untuk segera update data pribadi atau biodata diri pada akun SIAP Undip masing-masing.",netral
INFO DONOR DARAH Kalian ingin melakukan kerjasama untuk mengadakan kegiatan DONOR DARAH Tenang KSR FKM UNDIP siap membantu kalian Ingin tahu caranya Untuk ketentuan dan SOP dapat dilihat di,netral
Oh egk kidzz siap undip semua hp frenli,netral
"Pelantikan DPC IKA Undip Solo Raya, Siap Berkontribusi di Tingkat Daerah Enam daerah di Solo Raya yg terdiri dari Kab Karanganyar, Kota Surakarta, Kab Sukoharjo, Kab Wonogiri, Kab Sragen, dan Kota Klaten resmi mendirikan Dewan Pengurus Cabang Ikatan Alumni Universitas Diponegoro",netral
sini sumpa kost ak siap mnung nak kanak undip,netral
"-dips Absen di ios gembel banget, undip kendalanya dimana ya se gabisa bikin apps siap di appstore",negatif
"SAYA SIAP, TP SAYA BUKAN ANAK UNDIP",negatif
aku maba jg kokk wkwk salkenn,positif
eh km anak undip jg kah,negatif
Skip gk bisa absen pake siap undip,netral
"nggak nder, appstore gaada app siap undip soalnya wkkawkk",negatif
gangerti jg,positif
"wkwkwkw siap kakak kakak tua yang paling tau. realita nya di undip kalo kelas pagi dan izin sakit dosen pun tetep minta surat sakit. alhasil absen, terus jatah absen kepake padahal disitu keadaan nya mahasiswa lagi sakit. susah ngomong sama mahasiswa online ups",negatif
Kurang info kalo dideket undip tapi kalo Dee mau main se gacoan majapahit aku siap menyusul,netral
"Dibimbing PSDKU Undip Kus Rembang, Pengrajin Turusgede Siap Produksi Kerupuk Gendar Bebas Boraks -",netral
tutor cara ngejejerin tugas di siap undip dong,negatif
siap undip ga siap siap,negatif
Siap pak dosen undip,positif
Yang pake siap undip pasti relate,negatif
AK SIAP MENYAMAR JD KATING UNDIP,negatif
"Pada dies natalies ke-6, Sekolah Vokasi UNDIP berkomitmen untuk mewujudkan pendidikan tinggi terapan yang unggul melalui penguatan teaching industry, sehingga mu meningkatkan keterilan mahasiswa agar menjadi lulusan yang siap kerja",netral
Ready siap di Anter ke tempat kalian free,positif
"Sejumlah alumni Fakultas Kedokteran yang tergabung dalam Ikatan Alumni Ika Medica Undip Kompartemen Brebes,Tegal, Slawi Bregas mendeklarasikan diri siap membantu penanganan balita stunting di Kabupaten Tegal melalui program bapak asuh.",netral
undip pa kabar siap aja ga ios friendly,negatif
"Betul, masih bisa akses SSO tapi gak bisa SIAP. Yang perlu dicatat kita gak bisa share link OneDrive ke eksternal, jadi bisanya ke internal Undip aja : betulkan",negatif
slealu blg gakmau pacaran sm cowo yg sejurusan apalagi kl sejurusan dan seangkatan tapi kl ada yg bentukannya haechan di hi undip ini ayo aku siap punya pacar sejurusan,positif
Buka lewat jurnal langganan undip di siap right,netral
"Kalau belum siap kalah mending SV ngk usah ikut supporteran, malu maluin mahasiswa UNDIP aja.",negatif
"Diamm,, ytta",negatif
Jangan gitu dong,negatif
"Aplikasi siap Undip kok gabisa login kenapa ya, min",negatif
"Siap Undip gabisa login kah -dips Apa lagi eror ya,",negatif
"Ternyata anak Undip banyak yang ngga tau cara ini ya, padahal mahasiswa Undip bisa free akses banyak laman penting, kamu bisa buka download sepuasnya. Caranya: login sso -gt SIAP -gt jurnal yang dilanggan Undip. Sorry tilan hp aku ngga support wkwkwk",negatif
iphone ga bisa download aplikasi siap undip,netral
-dips Info booster sekitar undip please Sender mau siap siap buat pulang Desember nanti makasii,netral
"-dips aku open PO piscok 10k isi 4 coklatnya lumer dan ga eneg kalo ada yg minat komen aja nanti aku dm, ready hari minggu dan senin sore slot terbatas per hari nya ya ready frozen dan siap makan free anter sai kos daerah undip tembalang yaa gaiss",positif
"Sebagai orang yang suka senam sekaligus alumni mentor senam ketika uprak SMP, saya siap 100% MAJU LO SNBT, WATASHI SIAP MASUK UNDIP 2023",positif
Halah berapa kali sih kita ujian sering diulang/batal gegara kulon ngedown... Kesel bgt kek emang blm siap itu web dipake satu Undip -.-,negatif
stadion undip uda siap buat konser ni bang,netral
"Donasi yang terkumpul akan di prioritaskan untuk kebutuhan masyarakat sekitar berupa tenda, velbed, obat-obatan serta makanan siap saji. Donasi dibuka mulai hari Rabu tanggal 12 Oktober 2022 sai Senin 24 Oktober 2022 pukul 23.59 WIB.",netral
Presensi siap undip anjir,negatif
"siap undip, akademik, khs, scroll kebawah, cetak kartu uts",netral
Yuk ini proposal sama prototype kirim kemana Dah siap ngajuin tender project siap for ios lohhh,netral
"Mixue Undip hancur banget. Udah nunggu mau mesan aja lambat banget. 10 menitan gue nunggu. Nunggu barangnya 15 menit. Malah aku sendiri yang dapat eskrim cair. Kalo ga siap, ga usah menggebu buat bukanya",negatif
untuk pencipta aplikasi siap undip. saya ucapkan terima kasih karena kalo scan pakai aplikasi cepat sekali verifikasi berhasilnya,positif
semoga yang beli dipofair cuman buat dijual lagi dengan harga overpriced siap undip lu error bangsat,negatif
"WTS tiket dipofair festival A, siap cod sekitaran UNDIP",netral
"TRAILER BBB 2022 Hi Biologist UTS Semester ganjil tinggal sebentar lagi nih Sudahkah temen-temen mempersiapkan materi untuk UTS offline pertama kali kita Jika dari teman-teman belum siap nih, tetap tenang dan jangan takut ya teman-teman, yuuk gabung aja ke BBB",positif
"Jangan sia-siain kesempatan ini yaa, pendaftaran dibuka cuma sai 6 Oktober 2022, loooh Yuk, langsung cus siap-siap daftar and see u di internship HMIG 2022 nantii",netral
"Karena sekarang masih coming soon, ini waktu yang tepat untuk menyiapkan diri kalian supaya lebih siap dan bisa langsung caw setelah open registration release Selamat menunggu info selanjutnyaa Jangan sai terlewat, ya",positif
"Bagian siap undip, trs kulon nder, tergantung dosennya upload apa ngga, jgn lupa regis kelasnyaaa",netral
-dips cara liat pedoman skripsi undip/fpp itu dimana sih guys ada di web siap sso nya gitu,netral
di siap undip yg akademik,netral
Di siap undip,netral
INFO DONOR DARAH Kalian ingin melakukan kerjasama untuk mengadakan kegiatan DONOR DARAH Tenang KSR FKM UNDIP siap membantu kalian Ingin tahu caranya Untuk ketentuan dan SOP dapat dilihat di,netral
undip walkable kalo siap jalan menanjak naik turun,netral
Pihak Tersangka Emping Melinjo Siap Datangkan Ahli Hukum Undip,netral
"Biologi undip, laprak akan menjadi bestie kamu. Siap-siap tidur cuman 1-3 jam atau bahkan ga tidur samsek. Kalau fakultasnya sih oke2 aja, pas ospek blm ada yg ngata2in gitu",negatif
Coba cek siap /sso Terus klik jurnal yg dilanggan undip Nnt banyak banget pilihannya Ada scopus Emerald dll,netral
"teknik sipil undip. harus siap begadang karena baru minggu ke-5 aja udah banyak tugas besar, bahkan matkul itungan aja ada tugas besarnya :D trs harus siap asistensi dan revisi tiap minggu.",netral
"besok ada jam nya bu eka aduh asli deh mental gua kepental mulu tiap kelas dia, yaelah bayangin aje beliaunya senin kemaren di kelas bilang gini bodoh ya anda semua ya bodoh, undip ae gak ketompo kek anjing anjing anjing nusuk banget se ulu ati siap bu salah bu",negatif
"Kus temennya dimana Unisula, Undip tembalang, peleburan unwahas, siap menemani kak mozz",positif
"Halo admin, izin bertanya untuk perubahan biodata di SIAP bisa mengurus di dekanat fakultas kah",netral
"Kamu buka siap undip aja, ada akses ke jurnal internasional,",netral
"gpp kan mirip, temenku dulu scan peduli lindungi buat masuk mall puranya pake siap undip",negatif
Saya Tusiran Program Megister Ilmu Hukum Universitas Negeri Diponegoro UNDIP Siap Mengikuti PK 193 Mulai 26 September - 7 Oktober 2022 Genta Mandaya Bangkitkan Asa Wujudkan Karya,netral
-dips di siap undip bisa liat tgl awal masuk prodi ga sih kalo bisa liat dimana ya tengs,netral
monggo,positif
oke min,netral
Undip Jaya Jaya Jaya,positif
anjay psi undip nih apakah anda siap,netral
"dan siap bersaing secara global melalui karya-karya yang kreatif dan inovatif serta menginspirasi.. Jangan sai terlewatkan Beasiswa ini memiliki banyak manfaat seperti biaya bantuan pendidikan per semester, class education, dan masih banyak lagi.",positif
-dips udh siap teriak wanita racun dunia krn beneran dibutakan sm wanita undip,negatif
"Boleh, dm aja nder, siap menemani di bukit undip",netral
"Undip Siap Sulap Limbah Batubara PLTU Batang Kategori Non-B3, Jadi Rumah Ikan",netral
undip ketoke kakean mahasiswa. web siap semester ini makin sering error,netral
"siap undip siap undip, gw aja ga siap",negatif
"Limbah Batubara PLTU Batang Kategori Non-B3, Undip Siap Sulap Jadi Rumah Ikan",netral
22 sks sasing UNDIP 6 sks FS UGM organisasi nyiapin lomba nyiapin desa pengabdian buat volunteering tugas bejibun deadlinenya barengan SUPER DUPER MEGA GWS jgn lupa siap siaga kalo aku tipes,netral
skwskw hmmm siap menyaingi undip uii,positif
siap undip,positif
siap undip yg tdk siap,negatif
itu siap undip..,netral
"pulkam klo emg cmn skdr kangen org rumah mending ditahan dulu nder, km milih undip ya harus terima klo km merantau, semua ada konsekuensi nya. km pengen lockdown, konsekuensi nya bbrp temenmu susah pahami materi. km kuliah di undip, konsekuensi nya km hrs siap jauh dr ortu",negatif
akhirnya app siap undip udah bisa jadi presensinya lebih gang,netral
Proposal pengembangan sama prototype kirim kemana min Proposal dah jadi nih hehe,netral
"iseng iseng berhadiah aja kak, bikin proposal dan prototype. siapa tau di acc kan hehe",netral
wkwkwkwk,negatif
kalo di acc kan bisa ikut kontribusi ke almamater kita. dibaca: cari duit tambahan :,netral
wahwahwah,positif
"di ios memang tidak ada deck, sini order ke aku buat siap for ios",netral
kok siap undip gua masih gabisa,negatif
"siap undip kalo dah mau kuliah online kok jadi bisa ya, sekalinya offline rusak mulu anj kaga siap tuh aplikasi",negatif
"yeeeyyy, siap undip udh bs dipakeee",positif
-dips INGFOOOOO SIAP UNDIP UDAH SIAP,netral
"ok min, suwun",netral
walah undip siap siap daring lagi cok,netral
siap undip app nya jelek ew,negatif
bisa pake timetree nder btw ini pictnya ss an dari aplikasi siap undip wkwkwk,netral
yeyyy bisaaa tengs ingfonyh,positif
Sm-sm diks,netral
Tinggal login saja dik,netral
Ak ska mnghabiskan duit ibuku bwat bayar ukt,positif
Cba sj dik,netral
amalan pha yg km amalkn,positif
"okew minceu, terimakasih saranny",netral
"ANJAY AKHIRNYA BISA, THANKS TO ADMIN",positif
terima kasih mimin,positif
"udah bisa kak, coba lagi deh. tapi doa dulu",netral
rilkah,positif
aplikasi SIAP Undip adalah aplikasi yg belum siap. alias min ini knp belum bisa login2 yh sy jd sering kelewat absen krn miss terus sm dosennya :,netral
"Halo dips App SIAP udah bisa loh, maaf atas ketidaknyamanannya.",netral
evil siap undip,netral
ini siap undip knp tidak pernah siap,negatif
PETISI APP SIAP UNDIP SAMPE IOS DONG PLSSSSSSS KELIMPUNGAN BGT GUE TIAP WEB ERROR,negatif
-dips SIAP UNDIP UDAH BISA YEAY,netral
Tag ah,positif
lupa password min,netral
ngopo wae min,negatif
p,positif
Dengerin tuh min,positif
"-dips Mau tanya dong. Perbedaan aplikasi Siap Undip sama web SSO apa, ya",netral
ditanyain tuh,negatif
Mohon login kembali,netral
"-dips UKT ELIT, BENERIN APP SIAP UNDIP SULIT",negatif
siap undip gak bisa login terus monyetttt,negatif
bkn anak undip tp hidup w buka siap undip mulu,negatif
aplikasi android kapan beres min,netral
Bener njir awikwok. Mana aplikasi siap undip masih ngebug mulu kalau buat presensi,negatif
Gimana nih min kapan siapnga siap lagi,negatif
siap undip bikin misuh pagi2,netral
"Plot twits undip taunya post pertama bukan mahasiswa, adminnya harus siap tempur wkwkw",netral
woy lu udh sebulan masi eror aja,negatif
-dips Apk Siap undip udh bisa login blom ya Ribet bgt absen ga pake apk,negatif
-dips kenapa ya apk siap undip ku abis aku uninstall gabisa login lagi emailpassword ny uda bener tp selalu ada tulisan mohon login kembali,netral
"langsung lah cek jaket, celana, LAH KOK BENER ILANG langsung dari situ bales dm ig terus tancep gas ke jembatan merah undip alias pake baju pergi nurunin motor lagi pdhl udah siap tidur",negatif
-dips INI SIAP UNDIP KAPAN BENERNYA,netral
INFO DONOR DARAH Kalian ingin melakukan kerjasama untuk mengadakan kegiatan DONOR DARAH Tenang KSR FKM UNDIP siap membantu kalian Ingin tahu caranya Untuk ketentuan dan SOP dapat dilihat di,netral
Siap undip,positif
siap undip error se kapan yah,negatif
Aplikasi mungkin yang dimaksud ya. Noh dicariin pengguna ipon. Pengguna nexian nyimak nih,netral
lololo pdhl ws siap ddi maba undip 23,positif
ini siap undip kapan bisanya dahh,netral
"undipconncet yang tidak connect, siap undip yang tidak siap undipakses yang tidak bisa diakses",negatif
undip bisa yuk aplikasi siap nya dibenerin,netral
-dips Apk Siap Undip masih belom bisa,netral
"Kenapa ga dari awal cari kus yg full online aja kalo ga mau offline dan ga mau keluar banyak biaya. UT misalnya. Kan undip emang kus offline, kalo disuruh offline ya harus siap sama resikonya lah",negatif
