sentiment,content
negatif,"Tapi min, barusan cek tiket kereta Jayakarta kok tulisanya EKO ya Bukannya semua gerbang Jayakarta kursinya tipe PRE"
negatif,Iye ngab hadeuh
positif,"Selalu semangat kakkk, makasiii kakk"
positif,Semoga 2023 bisa lulus terus dapet rejeki ke korea amiin
netral,"halo min, kalau refund tiket pesawat di traveloka, akan di kembalikan berupa uang atau travel kredit ya"
netral,min penerbangan domestik dengan maskapai garuda tanggal 12 januari dipagi hari gada yaaa
netral,"siang min, kartu bri traveloka saya mau expired min. Perpanjang nya gimana ya"
netral,ini min shafamaulidia12
netral,cek dm dong
positif,Aku pingin bisa bener2 ditahun 2023 ka Hohoo
netral,"minnn cek dm yaa, urgent niii"
netral,cek dm ya tlg
netral,min klo pesan hotel include makan malam dan berakfast ada kah
netral,"kak mau tanya, akupesen lwt traveloka tp kok di pesanan sy gaada y"
negatif,"udh saya bales, adminnya blm balas lg"
netral,tolong bales lg min
netral,min. cek dm ya
netral,min cek dm yaa
netral,tolong dibantu cek dm
negatif,kui lo min di kon ngecek dm
netral,Kak bales chat ku dongg
netral,promo waktunya ngegas mulai tgl brp
netral,Sudah saya kirim tolong di cek
negatif,Sama aja boong kl duitnya ditahan 2 se 5hr .. pdhl kesalahan pada .. ngapain jg suruh bayar kl udh tahu flightnya ga bisa direschedule .. ga profesional banget service-nya ..
netral,saya ada double bayar bisa tolong di bantu untuk pengembalian dana.
negatif,"payah sekali after sales servicenya.Complain sudah 11hari, setiap hari follow up hanya dijawab dengan template sama dgn cs yg berbeda.Brp lama traveloka bisa menyelesaikan masalah dengan real actionurusan travelokamaskapai yg membatalkan sepihak tapi cust rugi"
negatif,Dipertemukan dengan orang yang salah
netral,cek dm min
netral,"bales dm kak, urgent"
negatif,"vendor penagihan paylater nya pake apa sih selaras2 apa tu perusahaan gede kaya traveloka pake vendor penagihan abal2, udah bayar tagihan masih aja nanya bukti pembayaran. mana ga pada punya sopan santun buat ukuran nagih orang yang udah bayar."
positif,baik mkasih
netral,halo... apakah pembelian tiket kereta bisa refund ya apakah bisa saya dm
positif,SEMANGAT
negatif,"Jadi rajin olahraga, yoga dan badminton. Kayak bener-bener serutin itu"
positif,Traveloka malah lebih informatif. Dikasih lengkap tulisan premium economy. Di aplikasi KAI access malah cuman kode PRE
netral,Min Tolong cek dm.
negatif,Semua buruuukk
positif,Plan liburan ke bali dan thailand nih di 2023. Semoga lancar rejekinya
positif,Seru banget nih pasti liburan bareng keluarga besar mana diskonnya gede lagi aw
positif,Wahh mantap nih liburan traveloka ngadain promo besar2an
positif,Semua urusan lancar dan ada rejeki ajak anak2 liburan ke singapore. Hihi. Aminnn
positif,"Semoga rejeki makin lancar, liburan makin jos"
positif,"pengen ajak liburan mamah mamahku pasti happy banget kalau aku ajak jalan-jalan, meskipun cuma dilingkup Indonesia, contohnya Bali."
netral,"mau jalan-jalan... kemana aja, bali boleh, nanti nginep divilla sama keluarga, spend my time for them."
positif,wish list banget pengen spend time ke Raja Ampat. semoga tahun depan kali ini bisa kecapaian deh
netral,"berkali kali gagal buat main ke Bandung, bahkan keliling Jakarta belum keseann :"
netral,Udah min
netral,"Wishlist tahun depan pengen jalan ke bali, mau belajar surfing sabi kali"
positif,Pengen deh liburan bareng keluarga atau temen Kalo ga ada nemenin juga gpp yg penting liburan
positif,Moga kesaian liburan bareng ortu ke labuhan bajo
netral,"Wishlist tahun 2023, bisa honeymoon ke 2 dengan pasangan"
positif,Makasih mimin
positif,2023 mau liburan ke sumba. Amin
positif,"Makin hoki, banyak promo traveling murmer biar bisa sering staycation"
positif,"Semoga Tahun baru yang datang, menjadi lebih baik dari sebelumnya Kak. -NT"
netral,Udah nabung buat tahun depan bawa ortu liburan
positif,Wishlist terpenuhi
positif,Ngatain perasaan sedalam2nya ke kluarga
netral,Pengen banget liburan keliling Indonesia
netral,Mau ke jepang
netral,hayu kita pergi bareng min
positif,Semoga tercapai semuanya
positif,Mau makan ramen langsung di tempatnya
positif,Wishlist terpenuhi
positif,Wishliat terpenuhi semua
netral,Mau ke jepang
netral,Mau main ke luar negeri
positif,Pengen nyatain bahwa aku sebenernya sukaaa sm dia ea
netral,semoga tahun 2023 bisa pergi ke Singapura amin
positif,mauu keliling indonesia asliii
netral,2023 semoga bisa liburan ke Korea
positif,Alhamdulillah tahun ini lebih baik moga tahun selanjutnya lebih baik lagi
netral,Boleh banget dong Kak. Yuk cek segera aplikasi Traveloka kamu. -AH
netral,"Masih bingung mau liburan kemana nihhhh, pengennya naik wahana wahana gitu deh bareng adeku. Atau pengen wisata air gituu"
positif,Gak berasa yaa udah tahun baru aja saatnya liburan kita santai santai bareng traveloka hehe
netral,wishlist ku tahun ini pengin ke bali bareng cwo aku hihi
netral,pengin liburan ke labuhan bajo di tahun baru
netral,pengin deh liburan tiap bulan
netral,semoga wishlist tahun ini buat ke bali tercapai
netral,semoga bisa ajak ortu ke labuhan bajo
netral,pengin liburan ke bali di 2023
netral,whislist pengin liburan rutin tiap bulan semoga kecapaian
positif,"belum kecapaian liburan ke bali, semoga tahun ini"
positif,Kalau bisa sih akhir tahun ini bisa ada me time dan enggak diganggu lemburan wkwkwkw aduh gue pengen banget ke pantai wak
positif,kayaknya seru tahun baru ke pantai deh
positif,semoga bisa ajakin keluarga ke luar negeri
netral,pengin ke korea siapa tau ketemu jaemin huhu
negatif,Heheheheh pengen ke bali belum jadi nih tahun ini banyak kerjaan capek pisan
netral,whislist pengin bawa keluarga ke korea
positif,Moga makin banyak kesempatan buat travelling
positif,"Hello 2023. Semoga usaha makin sukses, supaya bisa healing2 seru"
positif,Bisa naik pangkat biar makin banyak rejekinya buat liburan.
positif,Moga aja tiket hotel makin murah tahun depan. Jd bisa sering healing
positif,Semoga bisa ajakin ortu liburan ke labuhan bajo
positif,"Akhir tahun mau tidur ajalah biar tidur setahun : tapi janji 2023 gue bakal jalan jalan, menikmati libur pokoknya"
netral,Liburan tiap bulan biar ga stress. Hihi
negatif,bisa aja keluarga ke luar negri semoga aja
positif,Mau ke bali please 2023 gue kangen banget bali woooyy T_T
netral,wishlist pengin ke korea
negatif,semoga tahun ini bisa kebali wkwkw
positif,"2023, bisa dpaat tiket murah ke singapore. Aminnn"
positif,Semangat cari cuan buat pergi healing ke bali
negatif,"Ga neko neko sih karena tahun ini gue gagal jalan ke sunatra, tahun depan gue mau solo travel ngambil jatah libur ke sana"
positif,Semoga bisa ke raja at yak tahun depan
negatif,Pengen mainn sama ayang ga siii wkwk
netral,Pengen liburan ke labuhan bajo di 2023
negatif,"Pengen liburann kemanaa ajaaa, cape samaa tugass"
netral,Sebel 2022 jarang liburan. 2023 lebih sering lg yukk.
positif,"Setahun ini gue kurang waktu manjain diri sendiri, 2023 gue akan jalan jalan panjang hahah ke thailand :D"
netral,"Pengen ke luar negerii, bismillah 2023"
netral,"Mau bawa nyokap jalan jalan tahun ini belum kesean, insyaallah tahun depan sabilah bawa nyokap jalan ke yang beliau mau"
netral,Semiga disegerakan ke eropa bareng keluarga
positif,"Pengenn main ke koreaa, bismillah"
netral,mau ajak keluargaku ke Bandung naik kereta dan pergi ke banyak destinasiii
negatif,keliling Jogja malem-malem dan jajan dijalanan masih menjadi wishlist berat
positif,"Mau ke raja attt, surgaa duniaa wkwk"
netral,"Tahun baruan kali ini pengen banget trip ke bali, buat self reward yang dah kerja selama setahun ini."
netral,"Pengen keliling kota, liburan berdua sama orang yg disayang"
positif,"barengg ayangg ke banda neira,, aaa mauu bgtt"
positif,"Akhir tahun mantai kayaknya seru nih, apalagi bareng keluarga"
netral,Pengen ajak doi healing muter muter naik motor
netral,pengen habisin waktu bareng temen pergi ke wahana mainan
positif,Menyambut tahun baru enaknya jalan jalan ke tepi pantai
positif,Please be nice 2023. Sekoga makin banyak promo murmer buat traveling.
netral,"Pengen picnic barengg keluargaa tercinta, udh lama ga qtime bareng"
positif,"Saatnya memanjakan diri bersama keluarga, healing akhir tahun"
netral,Pengen solo leveling wkwkw maksudnya solo travel di jawa nih belum jadi jadi
netral,"mumpung januari udah mulai kuliah ngekos, pengen ngabisin malem tahun baru bareng keluarga dirumah"
positif,"Pengenn nanjak, udh lamaa pengen nyobainn"
positif,keinginan utama aku yaitu jalan-jalan di Pulau Komodo dan ngamatin komodo seharian
positif,semoga 2023 bisa nyer temenku yang ada di Korea dan travel
netral,"mau ajakin orang tua keliling Indonesia, dari Sabang sai Meraoke"
positif,Doain ya min semoga tahun baru bisa jalan2 bareng keluarga
netral,Pengen liburan ke bali bareng keluarga besar
netral,Pengen bgt liburan ke Raja Ampat. Masih nabung biar bisa terwujud.
positif,"Kayaakk, yg nggak kecapai itu nggakpapa. Ada yg lebih dikesempatan lainn"
netral,Pengenn pergi liburan akhir tahunn beberapa harii sama keluarga
positif,"Jepang adalah willshit healingku, semoga tercapai"
netral,hmm.. yang kependem sih banyak.. tapi selalu pengen ke Paris dan liat lunya nyala pas malem
positif,"Pengen trip agak jauhan dikit aja sih, klau bisa jauh banget wkekwk. Kemana aja sih oke karena udah gk bingung lagi karena ada traveloka"
netral,Ajak keluarga healing ke pantai akhir tahun
positif,besok malem tahun baru mau bakar bakar dirumah bareng keluarga semoga acaranya lancar
netral,Healing kemana mana bareng keluarga
positif,ga kesean buat banyakin me time dan memanjakan diri. untungnya bisa jalan ke solo besok
positif,Ajak mama papa healing ke labuan bajo pasti seru
positif,Wishlist jalan jalan ke jepang sama keluarga
negatif,pengen nyerin temen pena di Malaysia ga kebayang gimana senengnyaa
positif,pengen seru seruan bareng bestieee biar kepala ga mumet mumet amat abis bikin laporan akhir tahun
positif,"Pulau sumatera kamu adalah targetku yang harus aku explore tapi belum kesean, bismillah yaaa tahun berikutnya bisa kesean explorenya"
netral,"Bareng² keluar negri sama kk, kuliah disana"
positif,pengen quality time bareng temen keluarga. semoga kesempatan di 2023 lebih banyak dari 2022
netral,Bisa ajak keluarga ke luar negri. Semoga yak
netral,Pengen ke jepang wehhhh
netral,"Ke Korea, mau ketemu Oppa hehe"
positif,Pengen seneng2 sebagai reward atas perjuangan selama setahun. Pas bgt ada diskon hehe
positif,Liburan rutin tiap bulan moga2 terwujud. Aminnn
positif,"PENGENNNN BANGETTTTTTT ke Bali dan healing sama keluarga, biar bisa capture memories"
netral,Pengen ngajak bapak ibu healing ke danau
positif,"Honeymoon ke bali, bareng ayang"
positif,"kangen banget jalan jalan sama keluarga, pengen lagi deh tapi kemana yaa enaknya hmm"
netral,malem akhir tahun nanti pengen nyatain perasaan ke mas crush pas lagi nonton kembang api di bogor
positif,"Pengen banget ke baliii, jalan2 sama keluarga"
netral,"Mau nonton konser dari 3 cuma kejadian 1, semoga 2023 gue bisa dateng yang diharapkan"
positif,Pengen banget ajak keluarga ke Mekah
positif,pengen deh ngajak keluarga liburan bareng kemana gitu yang bikin mata jadi segerr
netral,belum kesean buat liburan bareng sama temen. semoga 2023 goes to Bandung Bali
netral,"Doain min biar bisa umrah sama keluarga, terus healing disana"
netral,"Jerman, kamu jadi tujuan utama saya dan masih belum dikasih kesempatan untuk kesana. Bawa ak ke sono yuk traveloka"
netral,Ajak anak ke Disneyland Singapore dong
netral,masih ngincer beasiswa di luar negeri semoga 2023 ada jalannya..
negatif,"akhir taun gini emang seruu jalan jalan, bingung ni mau ke laut apa gunung"
netral,"Kalau bisa mau jalan jalan ke daerah yag belum pernah aku datengin tahun ini, buat 2023"
positif,Pas banget akhir tahun pengen liburan bareng keluarga ke kung halaman deh
netral,2023 pengen ke jepang si
netral,Pengen liburan ke jepang
netral,Aku tuh ya pengen banget ajak keluarga liburan bareng bareng belum kesean niihhhh
positif,otw liburan gas ngeng karena travelokaaa ngadain promo besar besaran
positif,"Ke jogja bareng keluarga, me time bersama keluarga"
netral,"Awal tahun nanti rencana mau ke Bandung, semoga lancar"
negatif,Duh ga sabar mau liburan bareng keluarga
netral,"Mau liburan sama keluarga kalau bisa tahun depan, permintaan bokap soalnya"
positif,"Horeee... waktunya shantaaayyy, libur telah tiba... langsung cuzz traveloka"
netral,"Mau me time dengan cara solo trip kayak sebelum pandemi, gak sah jauh² deh deket² aja kayak nusa penida pake traveloka biar gang"
positif,Pengen banget deh liburan ke lombok
positif,"Sesekali lah me time asik nih mau jalan jalan kita, siplah akhir atau awal tahun ini digaskan pas dapet liburan"
positif,Liburan enaknya kemana yah
netral,"Kebetulan anak libur panjang nih tahun baru, mau ajak keluarga buat liburan ah"
netral,"Pengen banget liburan, cek-cek dulu"
netral,"Udah prepare nih, awal tahun mau liburan 5 hari ke Bali"
netral,Pengen banget liburan biar bisa healing
positif,"Enggak kesean jalan jalan ke luar pulau jawa tahun ini, tahun depan harus dapet, amiinnn"
positif,"Asyik, ini dia yang dicari, bisa liburan tanpa harus kering kantong"
netral,Pengen liburan ke raja at bareng keluarga
netral,"Pengen ajak orang tua liburan, kemana aja yang penting bisa liburan bareng"
positif,"Liburan yg murah meriah aja lah, mau ke Ragunan nanti"
positif,"Kmrn abis liat story temen abis liburan ke Tanjung Aan Lombok, jadi pengen juga. Semoga bonus akhir tahun cepet cair"
positif,"mau ajak temen temen ah liburan bareng, pasti seru banget"
positif,"Saatnya memanjakan diri alias healing wkwk me time maksudnya, pengen ke pulau seribu wak solo travel aja pasti bagus bagus pulaunya"
positif,"Pokoknya pengen banget ajak keluarga jalan², nginep di hotel seru seruan"
netral,"pas banget kuliah lagi libur,enaknya liburan kemana ya masi bingung"
netral,Liburan akhir tahun mau keliling Jogja aja sih paling
positif,Mau banget me time bareng keluarga sekalian ini bakal seru banget heung mau semoga terwujud secepatnya 2023 laahh
positif,"Udah berencana liburan bareng temen awal tahun nanti, capek cuy kerja setahun gak dpt liburan. Saatnya menikmati hasil"
positif,Horeee... saatnya berlibur hemat. Serbu traveloka
netral,saatnyaa liburan di hotel mewah dengan promo traveloka
netral,"Ada rencana mau nginep di villa Puncak sih, 2 hari cukup lah"
positif,"Tahun ini lagi pengen main ke Puncak, kayanya seru dehh"
positif,Jepang masih jadi tempat tujuan paling gue pengen datengin ya aduh gusti bawa aku segera kesanaaa
positif,Dari dulu pengen bangett naik pesawat trus liburan bareng keluarga trus nginep di hotel mewah semoga secepatnya deh bisa kesaian
netral,"Liburan tahun baru bareng keluarga, niatnya sih mau ke Jogja nanti"
netral,"Rencananya tahun dpn mau liburan ke Bali, semoga dilancarkan buat diwujudkan ya"
netral,"Yang mau liburan bareng keluarga, kuy"
netral,"Anak ngajakin ke Sea World, pengen liat ikan² katanya"
netral,belum ke sain liburan ke jogjaaa rencanaa tahun baru nanti
positif,"amiin , makasih yaa min doanya"
positif,Ini baru keren... anak kos macam aku bisa liburan nih kl diskon2an gini
netral,"Udh nabung dr awal tahun, rencana buat liburan di awal tahun depan nih"
netral,"Pengen main ke ntt, ketemu komodo hehe"
positif,2023 cus liburan bareng sekeluarga
netral,"Mau liburan ke TMII sih, kan abis direnovasi tuh, jadi penasaran"
positif,"pengen dehh staycation di hotel mewah, ini momen pas banget traveloka ada promo"
negatif,"Pencari diskon, serbuuu"
positif,Mantap banget Semoga tahun ini bisa liburan ke Purbalingga bareng mama amiin.
positif,"cocok akhir tahun nihhh, apalagi banyak diskon di traveloka"
negatif,Udah ada rencana pingin sekalii aja ngerasain liburan sendiri ala² me time gitu. Ketempat yg bikin stres ilang pokoknya
netral,Pengen ke Bali nyusul mama sama adik yg lagi liburan huhu
positif,makin semangat nabung buat liburan biar ga pusing mikirin biaya
positif,"udah siap banget buat liburan, tinggal milih destinasinya aja niihh"
netral,mau ajak keluarga liburan pake diskon di traveloka
netral,"2023 mau healing ah, udah nabung dr lama. Mau nikmatin me time"
positif,"PAS BANGET SIHHH DISKONNYA di saat liburan gini, wacana mau jalan bareng temen atau keluarga bakal jadi ini mah"
negatif,"tabungan udah ada, tinggal nunggu partner jalan jalannya nih wkwk"
netral,Tahun baru nanti sih rencana mau ke Jogja
positif,"pingin banget tahun baruan di korea bareng keluarga meningkati indahnya seoul, semoga next time bisa kesana"
netral,"mau nabung dulu, semoga bisa liburan pakai traveloka nanti"
netral,Pengen banget liburan ke luar negri bareng traveloka
positif,"Wih seru banget kalo ada kupon gini, liburan makin asikk. Pengen banget ke luar kota deh, rencananya mau ke Jogja. Tapi bimbanggg, Jogja atau Lung yaaa apa dua duanyaa"
netral,"wishlist liburan buat thn ini ada yg blm nih, pindah jd buat thn depan salah satunya ke Labuan Bajo"
positif,Akhirnya keuanganku mendukung nih untuk bisa ajak keluarga liburan ke Jogja
positif,"tahun baruan di new york jadi salah satu impianku, semoga bisa terwujud"
positif,"Pokoknya 2023 hidup gue harus seru banyak liburannya. Gak kerja melulu, semoga bisa nikmatin hasil usaha gue"
positif,Wah pas banget lagi nyari diskonan buat liburan tahun baru
negatif,"Pengen bgt bisa ngajak vacation bareng keluarga besar ke Bali, bener2 butuh healing lagi burn out parah"
positif,Duh Promonya menggiurkan buat tahun baru bareng keluarga Otw cek voucher dari traveloka
negatif,Sekali² pengen liburan bareng temen² ke tempat yang pemandangannya bagus kek alam² yg fresh gitu deh. Kan bosen kalau main di mal² terus
positif,"pengen staycation ke bali deh, seru pasti"
netral,Udah ada rencana pengen liburan ke luar kota tapi tabungannya masih blm cukup
positif,"Bali salah satu tempat yg pengen bgt didatengin, lg nabung nih buat liburan ke sana"
netral,Kebetulan semenjak covid anak blm pernah diajak liburan di pantai. Semoga tahun baru
netral,Letsgo menuju 2023 penuh healing
netral,"Mau liburan sama anak istri, staycation di hotel mewah"
positif,"pas banget deh ada diskon gini, dari sejak uts udah ada wacana mau liburan jalan jalan bareng temen pasti seru bangettt"
positif,Traveloka emang pengertian bangett akhir tahun banyak diskonnya
netral,"Pengen diajak liburan dan nginep di hotel mewah, semoga bisa terwujud di tahun ini..."
positif,"pingin ajak keluarga buat jalan2 ke Bali, nginap di hotel bintang 5, semoga secepatnya terwujud"
positif,pengen bangeett jalan jalan sama temen
positif,Me time seru kali ya menikmati hasil nabung sambil healing sendiri
positif,"pengen bgt nih bisa liburan sama keluarga, semoga tahun depan bisa terlaksana"
positif,hmm harus liburan kemana akhir tahun kali iniiii harus seru seruan sih
positif,Masih banyak wishlist liburan yang blm tercapai tahun ini. Alhamdulillah 2023 ada plan walaupun pelan2 wujudinnya
netral,"mau nabung untuk healing, next time"
netral,"Udah pengen banget liburan ke Labuan Bajo, semoga rencana tahun ini bisa berangkat liburannn.."
positif,"Pengen deh ajak keluarga holiday kemana gituu , semoga bisa segera terwujud"
netral,"Blm kesean deh bulan madu gara2 covid, pengen ah awal tahun ini"
netral,Mau liburan bareng ayang ke bali xixi
positif,"Udah lama banget ga liburan sekeluarga, semoga bisa segera terwujud"
positif,"wiii akhir tahun gini cocok banget pergi bareng keluarga besar, seru pastiii"
positif,Pengen banget staycation bareng temen2 ke tempat2 yang estetik tpi belum kesean trus pertama karena uangnya kedua karena waktunya. Selalu tidak sikron :
positif,"pingin me time ke Labuan Bajo, semoga bisa terwujud secepatnya"
netral,Pengen banget akhir tahun liburan bareng keluargaa:
positif,"Mimpi yang belum terwujud dari dulu tuh pengen liburan bareng sekeluarga pas tahun baru ke Bali, semoga bisa deh ya"
negatif,Sekali2 pengen deh staycation ke hotel healing gitu biar pikiran fresh lagi
negatif,"pengeennn liburan ngeliat langit dan awan tapi pasti abis itu cape trus butuh hotel, ke gunung apa ya kira kira"
positif,duh semoga bisa terwujud liburan bareng keluarga
positif,Pass banget akhir tahunan bareng keluarga nii gaskeunnn
netral,"Tahun baru tinggal besok , saatnyaa berburu promo dadakan di Traveloka"
positif,"akhir tahun ini pengen banget ke pantai deh, dimana sih yang bagusnya kalo liburan ke pantai"
netral,Wihhh pengen banget liburan ke bali semoga tahun depan bisa ke bali main dipantai hehehe
netral,wishlist ku tahun depan bisa liburan ke Bali sama cowokku hihi aminn
netral,"belum kesaian liburan bareng keluarga, rencana tahun baru ini"
negatif,"saya udh booking hotel dan sudah bayar, bisakah saya ganti hotel tanpa refund Karena saya liat orang2 banyak marah refund nya lama"
netral,Pengen banget ngajakin mama ke Bali nginep di hotel sambil liat sunrise bareng
negatif,"Ga ada, dah pasrah"
positif,"Mencintai diri sendiri itu perlu dan harus dilakukan terlebih dahulu. Sudah melihat versiku paling rusak, namun menemukan versiku paling kuat."
positif,senang bertemu dgn mu
positif,Pengen ke Baliiiiiii sama keluargaaaa. Udah terpendam sejak setaun yg laluu. Karna kalo sama keluarga pasti Jogja lagi Jogja lagiii : Sekali sekali ke Baliii yuuukk.
positif,Semangat menyambut tahun baru Kak. -PA
positif,temen yg baik
positif,Tiket pesawat murah di tiket. Com
positif,Banyak belajar tentang hidup.
netral,min ada voucher diskon buat kereta nga min
positif,"alhamdulillah banyak, terima kasih tuhan semoga taun depan dan tahun tahun berikutnya hal hal baik akan terus terjadi di kehidupan semua orang amiin"
netral,diakhir tahun ini aku bersama orang yang aku sayangi. ya ayang ya ortu
netral,kalau ada yang gakepake mau dijual kabarin yaa
netral,kalo ada yang gakepake dan mau dijual kabarin yaa
positif,mengikhlaskan nya dengan baik baik
negatif,"Ngak bisa liburan, Minus saldo."
positif,selalu always gapernah never
netral,Putraku berumur 1 tahun
positif,bisa hidup sendiri haha alhamdulillah
positif,"Tahun ini penuh kejutan, awal tahun pindah ke perusahaan yg lebih besar, tengah tahun lanjut S2, eh putus dari 4 tahun hubungan, akhir tahun Allah ngasih laki-laki yg baik bangeeet"
netral,Udah di DM ya
positif,"Banyak banget. Lulus, wisuda, tawaran kerja, balik ke rumah, ga nomaden lagi, kumpul bareng keluarga. Ah banyak banget ya Allah."
netral,bisa bantu saya
positif,ketemu sama org baikk
netral,Jawabannya ada di kata ke-12
positif,banyak bertemu orang baik
positif,Pendewasaan diri dan bertemu orang orang baru serta pengalaman dibalik gempuran mental dan fikiran yang datang bertubi-tubi
positif,"Diberi kesehatan sepanjang tahun, keluarga masih utuh, masih kerja. Tambahan lainnya, bisa punya tanah setengah hektar lebih dan kesean jalan jalan ke negara Georgia, yg tiap harinya bisa nyobain wine di negara pecahan uni soviet itu. Alhamdulillah nikmat luar bisa tahun ini."
positif,bisa se ke Mekahh
positif,Ketemu eaaaa
negatif,Gaada ekwk
negatif,Kalau engga ada pilihan berarti engga bisa milih ya Berarti acak
positif,Lebih damai dengan diri sendiri setelah 4 tahun mencoba belajar untuk menenangkan diri dari masa lalu
positif,semoga baik sj
netral,soalnya makan semen tiga roda
